Student,class
18529,4CI
18532,4CI
18575,4CI
18576,4CI
18586,4CI
18605,4CI
18617,4CI
18245,4CI
20069,4CI
18632,4CI
18647,4CI
18656,4CI
18290,4CI
18669,4CI
18293,4CI
18332,4CI
18709,4CI
18732,4CI
19677,4CI
18738,4CI
18742,4CI
18745,4CI
18762,4CI
18774,4CI
18412,4CI
18808,4CI
